Startup;Fonds;Titel;Vorname;Nachname;Geschlecht;Land
BayoTech, Inc.;Cottonwood Technology Fund III;"";"";"";"";""
BayoTech, Inc.;"";;Justin;Eisenach;"";Vereinigte Staaten von Amerika (USA)
BayoTech, Inc.;"";;Milton;Vernon;"";Vereinigte Staaten von Amerika (USA)
BayoTech, Inc.;"";;Scott;Dyer;"";Vereinigte Staaten von Amerika (USA)
Bazooka Tango, Inc. (White Water Games);BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Bazooka Tango, Inc. (White Water Games);"";;Robert;Daly;;Vereinigte Staaten von Amerika (USA)
Bebopbee;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Bebopbee;"";;Rajeev;Nagpal;"";Vereinigte Staaten von Amerika (USA)
Bebopbee;"";;Cristian;Zanier;"";Vereinigte Staaten von Amerika (USA)
Bellabeat Inc.;Nordic Eye II SCSp;"";"";"";"";""
Bellabeat Inc.;"";;Sandro;Mur;"";Vereinigte Staaten von Amerika (USA)
Bellabeat Inc.;"";;Urška;Sršen;"";Vereinigte Staaten von Amerika (USA)
Bellabeat Inc.;"";;Lovepreet;Singh;"";Vereinigte Staaten von Amerika (USA)
Better Diary Limited;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
Better Diary Limited;"";;Jevan;Nagarajah;"";Groß-Britanien (UK)
Better Diary Limited;"";;Christopher;Reynolds;"";Groß-Britanien (UK)
BioFlyte;Cottonwood Technology Fund III;"";"";"";"";""
BioFlyte;"";;Charles;Call;"";Vereinigte Staaten von Amerika (USA)
Bitfry;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Bitfry;"";;Benjamin;Freidlin;;Vereinigte Staaten von Amerika (USA)
Bitfry;"";;Chris;Mate;;Vereinigte Staaten von Amerika (USA)
Black Math Inc. (Darkblock);Greenfield One III GmbH & Co. KG;"";"";"";"";""
Black Math Inc. (Darkblock);"";;Chris;Seline;"";""
Black Math Inc. (Darkblock);"";;Darri;Ulfsson;"";""
Brinkbound Games, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Brinkbound Games, Inc.;"";;David;Straily;"";Vereinigte Staaten von Amerika (USA)
Byte Trading;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
Byte Trading;"";;Jan;Hoekman;"";Estonia
Byte Trading;"";;Dominik;Vacikar;"";Estonia
CCP Games;a16z - CNK Seed Fund I, L.P.;"";"";"";"";""
CNK IV diverse;a16z - CNK Fund IV, L.P.;"";"";"";"";""
CNK Seed I diverse;a16z - CNK Seed Fund I, L.P.;"";"";"";"";""
Carbonated Games;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Carbonated Games;"";;Travis;Boatman;;Vereinigte Staaten von Amerika (USA)
Carvolution;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
Carvolution;"";;Luis;Wittwer;;Schweiz
Carvolution;"";;Léa;Miggiano;;Schweiz
Carvolution;Redalpine Opportunity Fund SCS;"";"";"";"";""
Carvolution;"";;Luis;Wittwer;;Schweiz
Carvolution;"";;Léa;Miggiano;;Schweiz
Celonis SE;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Celonis SE;"";;Alexander;Rinke;"";Deutschland
Celonis SE;"";;Bastian;Nominacher;"";Deutschland
Celonis SE;"";;Martin;Klenk;"";Deutschland
Cera Care;Nordic Eye II SCSp;"";"";"";"";""
Cera Care;"";;Mahiben;Maruthappu;"";Groß-Britanien (UK)
Cera Care;"";;Marek;Sacha;"";Groß-Britanien (UK)
Cera Care;"";;Martin;Ocenas;"";Groß-Britanien (UK)
"Charitize, Inc. (""Rightfood"")";Honeystone Ventures Fund LP;"";"";"";"";""
"Charitize, Inc. (""Rightfood"")";"";;Danielle;Pensack;"";Vereinigte Staaten von Amerika (USA)
"Charitize, Inc. (""Rightfood"")";"";;Will;Schmitt;"";Vereinigte Staaten von Amerika (USA)
"Charitize, Inc. (""Rightfood"")";"";;Deirdre;Clute;"";Vereinigte Staaten von Amerika (USA)
Circuit Mind;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
Circuit Mind;"";;Tomide;Adesanmi;;Groß-Britanien (UK)
Circuit Mind;"";;Basilio;Gentile;;Groß-Britanien (UK)
Circular Genomics Inc.;Cottonwood Technology Fund III;"";"";"";"";""
Circular Genomics Inc.;"";;Alexander;Hafez;"";Vereinigte Staaten von Amerika (USA)
Circular Genomics Inc.;"";;Nikolaos;Mellios;"";Vereinigte Staaten von Amerika (USA)
Circular Genomics Inc.;"";;Kosmas;Karadimitriou;"";Vereinigte Staaten von Amerika (USA)
CloudApp;Nordic Eye II SCSp;"";"";"";"";""
CloudApp;"";;Tyler;Koblasa;"";Vereinigte Staaten von Amerika (USA)
CloudApp;"";;Scott;Smith;"";Vereinigte Staaten von Amerika (USA)
CloudNC;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
CloudNC;"";;Theo;Saville;;Groß-Britanien (UK)
CloudNC;"";;Chris;Emery;;Groß-Britanien (UK)
Cloudflare Inc.;Honeystone Ventures Fund LP;"";"";"";"";""
Codacy;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
Codacy;"";;Jaime;Jorge;;Portugal
Codacy;"";;Joao;Caxaria;;Portugal
Codeship;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
Codeship;"";;Moritz;Plassnig;;""
Codeship;"";;Manuel;Weiss;;""
Codeship;"";;Florian;Motlik;;""
Collato GmbH;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
Collato GmbH;"";;Sebastian;Oehlschläger;"";Deutschland
Collato GmbH;"";;Ivo;Scherkamp;"";Deutschland
Cornami;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Cornami;"";;Gordon;Campbell;;Vereinigte Staaten von Amerika (USA)
Cornami;"";;Paul;Master;;Vereinigte Staaten von Amerika (USA)
Cornami;"";;Fred;Furtek;;Vereinigte Staaten von Amerika (USA)
Crabi Autoseguro;Honeystone Ventures Fund LP;"";"";"";"";""
Crabi Autoseguro;"";;Javier;Orozco;"";Mexiko
Credi2 GmbH;Reimann Investor Management GmbH & Co. 2016 KG;"";"";"";"";""
Credi2 GmbH;"";;Daniel;Strieder;;Österreich
Credi2 GmbH;"";;Jörg;Skornschek;;Österreich
Credi2 GmbH;"";;Michael;Handler;;Österreich
Crew³;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
Crew³;"";;Mathis;Grosjean;"";""
Crew³;"";;Kevin;Arweave;"";""
Cryptonext Security;Quantonation I FPCI;"";"";"";"";""
Cryptonext Security;"";;Jean-Charles;Faugère;"";Frankreich
Cryptonext Security;"";;Ludovic;Perret;"";Frankreich
Customs4Trade (C4T);42CAP II GmbH & Co. KG;"";"";"";"";""
Customs4Trade (C4T);"";;Ilse;Vermeersch;;Belgien
Customs4Trade (C4T);"";;Pieter;Haesaert;;Belgien
DATAPRED;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
DATAPRED;"";;Nicolas;Mahler;;Schweiz
Daedalean AI;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
Daedalean AI;"";;Luuk;Dijk;;Schweiz
Daedalean AI;"";;Anna;Chernova;;Schweiz
Dappback;Greenfield One III GmbH & Co. KG;"";"";"";"";""
Dappback;"";;Jascha;Samadi;"";Vereinigte Staaten von Amerika (USA)
Deep Instinct;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Deep Instinct;"";;Guy;Caspi;;Israel
Deep Instinct;"";;Eli;David;;Israel
Deep Instinct;"";;Nadav;Maman.;;Israel
Deep Ivy;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Digital Spine (Aufzughelden);Join Capital Fund II GmbH & Co KG;"";"";"";"";""
Discord Inc;BITKRAFT Ventures Opportunity Fund I, L.P;"";"";"";"";""
Donut;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
Donut;"";;Neel;Popat;;Deutschland
Donut;"";;Jordan;Abderrachid;;Deutschland
ENLYZE;42CAP II GmbH & Co. KG;"";"";"";"";""
ENLYZE;"";;Julius;Scheuber;;Deutschland
ENLYZE;"";;Deniz;Saner;;Deutschland
ENLYZE;"";;Clemens;Hensen;;Deutschland
ENVIRIA Energy Holding GmbH;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
ENVIRIA Energy Holding GmbH;"";;Melchior;Schulze Brock;"";Deutschland
Electric DB Limited (Vaxine);Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Electric DB Limited (Vaxine);"";;James;Arthur;"";Kroatien
Entropy Cryptography, Inc.;a16z - CNK Seed Fund I, L.P.;"";"";"";"";""
Entropy Cryptography, Inc.;"";;Tux;Pacific;"";Vereinigte Staaten von Amerika (USA)
Envelop Risk;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Envelop Risk;"";;Jonathan;Spry;;Groß-Britanien (UK)
Epic Games;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Epic Games;"";;Tim;Sweeney;;Vereinigte Staaten von Amerika (USA)
Ethereum;a16z - CNK Fund IV, L.P.;"";"";"";"";""
Ethermail;Greenfield One III GmbH & Co. KG;"";"";"";"";""
Ethermail;"";;Shant;Kevonian;mänlich;""
Ethermail;"";;Gerald;Heydenreich;mänlich;""
Ethos Technologies Inc.;Redalpine Opportunity Fund SCS;"";"";"";"";""
Ethos Technologies Inc.;"";;Lingke;Wang;"";Vereinigte Staaten von Amerika (USA)
Ethos Technologies Inc.;"";;Peter;Colis;"";Vereinigte Staaten von Amerika (USA)
EuQlid;Quantonation I FPCI;"";"";"";"";""
EuQlid;"";;Ronald;Walsworth;"";""
Exscientia PLC;42Cap III GmbH & Co KG;"";"";"";"";""
F4NTEC Ecommerce Israel Ltd.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
F4NTEC Ecommerce Israel Ltd.;"";;Dror;Galis;;Israel
F4NTEC Ecommerce Israel Ltd.;"";;Elad;Shahar;;Israel
F4NTEC Ecommerce Israel Ltd.;"";;Oren;Guli;;Israel
FOL Topco (Adam Neuman);a16z - CNK Fund IV, L.P.;"";"";"";"";""
Fancurve;Greenfield One III GmbH & Co. KG;"";"";"";"";""
Fancurve;"";;Mario;Götze;mänlich;Vereinigte Staaten von Amerika (USA)
Fancurve;"";;André;Schürrle;mänlich;Vereinigte Staaten von Amerika (USA)
Fancurve;"";;Chris;Chaney;"";Vereinigte Staaten von Amerika (USA)
FinTecSystems;Reimann Investor Management GmbH & Co. 2016 KG;"";"";"";"";""
FinTecSystems;"";;Stefan;Krautkrämer;;Deutschland
FinTecSystems;"";;Dirk;Rudolf;;Deutschland
FiveVectors;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
FiveVectors;"";;Andres;Lauer;;Deutschland
FiveVectors;"";;Wasae;Imran;"";Deutschland
Flexciton;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
Flexciton;"";;Jaime;Potter;;Groß-Britanien (UK)
Flexciton;"";;Dionysios;Xenos;;Groß-Britanien (UK)
Flexia;ADvantage Sports Tech Fund LP;"";"";"";"";""
Flexia;"";;Kaleen;Canevari,;"";Vereinigte Staaten von Amerika (USA)
Flexia;"";;CJ;Kelly;"";Vereinigte Staaten von Amerika (USA)
Flexia;"";;David;Ducrest;"";Vereinigte Staaten von Amerika (USA)
Flipt;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Flowlity;42CAP II GmbH & Co. KG;"";"";"";"";""
Flowlity;"";;Jean-Baptiste;Clouard;;Frankreich
Flowlity;"";;Karim;Benchaaboun;;Frankreich
Flowlity;"";;Coralie;Gironde;;Frankreich
Foqus Technologies Inc.;Quantonation I FPCI;"";"";"";"";""
Foqus Technologies Inc.;"";;Sadegh;Raisi;"";Kanada
Foqus Technologies Inc.;"";;Michele;Mosca;"";Kanada
Foundation Devices;Greenfield One III GmbH & Co. KG;"";"";"";"";""
Foundation Devices;"";;Jendrik;Poloczek;"";Vereinigte Staaten von Amerika (USA)
Freightify;Nordic Eye II SCSp;"";"";"";"";""
Freightify;"";;Anand;Babu;"";""
Freightify;"";;Mohammed;Zakkiria. A;"";""
Freightify;"";;Raghavendra;Viswanadhan;"";""
Freightify;"";;Raghavendran;Vi;"";""
Frenetic;42CAP II GmbH & Co. KG;"";"";"";"";""
Frenetic;"";;Jose;Malina;;Spanien
Frenetic;Join Capital Fund II GmbH & Co KG;"";"";"";"";""
Frenetic;"";;Jose;Malina;;Spanien
Frontastic;Reimann Investor Management GmbH & Co. 2016 KG;"";"";"";"";""
Frontastic;"";;Thomas;Gottheil;;Deutschland
Frontastic;"";;Henning;Emmrich;;Deutschland
Frontastic;"";;Tobias;Schlitt;;Deutschland
Frontastic;"";;Kore;Nordmann;;Deutschland
Frost Giant Studios, Inc.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Frost Giant Studios, Inc.;"";;Tim;Morten;;Vereinigte Staaten von Amerika (USA)
Frost Giant Studios, Inc.;"";;Tim;Campbell;;Vereinigte Staaten von Amerika (USA)
Fuzzy Logic Robotics;42Cap III GmbH & Co KG;"";"";"";"";""
Fuzzy Logic Robotics;"";;Jason;Ried;"";Vereinigte Staaten von Amerika (USA)
FuzzyBot;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
FuzzyBot;"";;Max;Spielberg;"";Vereinigte Staaten von Amerika (USA)
FuzzyBot;"";;Tatyana;Dyshlova;"";Vereinigte Staaten von Amerika (USA)
GGWP Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
GGWP Inc.;"";;Dennis;Fong;"";""
GGWP Inc.;"";;George;NG;"";""
GGWP Inc.;"";;Kun;Gao;"";""
GGWP Inc.;"";;Ling;Xiao;"";""
"GTM.AI, Inc. (""SalesDNA"")";Honeystone Ventures Fund LP;"";"";"";"";""
"GTM.AI, Inc. (""SalesDNA"")";"";;Josh;Braun;"";Vereinigte Staaten von Amerika (USA)
Gaming 24/7 Inc.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Gaming 24/7 Inc.;"";;Ariel;Horn;;Vereinigte Staaten von Amerika (USA)
Gaming 24/7 Inc.;"";;Ben;Kusin;;Vereinigte Staaten von Amerika (USA)
Genialis;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
Genialis;"";;Rafael;Rosengarten;;Vereinigte Staaten von Amerika (USA)
Genialis;"";;Nejc;Skoberne;;Vereinigte Staaten von Amerika (USA)
Genialis;"";;Miha;Štajdohar;;Vereinigte Staaten von Amerika (USA)
German Bionic;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
German Bionic;"";;Peter;Heiligensetzer;;Deutschland
German Bionic;"";;Armin;Schmidt;;Deutschland
Gesso Labs;a16z - CNK Seed Fund I, L.P.;"";"";"";"";""
GetVisibility;Alpha Intelligence Capital Fund 1;"";"";"";"";""
GetVisibility;"";;Mark;Brosnan;"";Groß-Britanien (UK)
GetVisibility;"";;Ronan;Murphy;"";Groß-Britanien (UK)
GoAutonomous;42Cap III GmbH & Co KG;"";"";"";"";""
GoAutonomous;"";;Bjarke Ruse;Sejersen;"";Dänemark
GoAutonomous;"";;Nikita;Smagin;"";Dänemark
GoAutonomous;"";;Jacob;Ramlov;"";Dänemark
GoAutonomous;"";;Jacob;Hessellund;"";Dänemark
GoMeta, Inc. (koji);BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
GoMeta, Inc. (koji);"";;Dmitry;Shapiro;;Vereinigte Staaten von Amerika (USA)
GoMeta, Inc. (koji);"";;Sean;Thielen;;Vereinigte Staaten von Amerika (USA)
GoMeta, Inc. (koji);"";;Jonathan;Miller;;Vereinigte Staaten von Amerika (USA)
Golden Recursion Inc.;a16z - CNK Seed Fund I, L.P.;"";"";"";"";""
Golden Recursion Inc.;"";;Jude;Gomila;"";Vereinigte Staaten von Amerika (USA)
GoodCarbon;Greenfield One III GmbH & Co. KG;"";"";"";"";""
GoodCarbon;"";;David;Diallo;"";""
GoodCarbon;"";;Jerome;Cochet;mänlich;""
Govly LLC;Nordic Eye II SCSp;"";"";"";"";""
Govly LLC;"";;Jon;Wright;"";Vereinigte Staaten von Amerika (USA)
Govly LLC;"";;Mike;Weiland;"";Vereinigte Staaten von Amerika (USA)
Govly LLC;"";;Nick;Weiland;"";Vereinigte Staaten von Amerika (USA)
Green Theme Technologies, Inc.;Cottonwood Technology Fund III;"";"";"";"";""
GreenPark Sports, Inc.;ADvantage Sports Tech Fund LP;"";"";"";"";""
GreenPark Sports, Inc.;"";;Nick;Swinmurn;"";Vereinigte Staaten von Amerika (USA)
GreenPark Sports, Inc.;"";;Ken;Martin;"";Vereinigte Staaten von Amerika (USA)
GreenPark Sports, Inc.;"";;Chad;Hurley;"";Vereinigte Staaten von Amerika (USA)
Guidde Inc.;Honeystone Ventures Fund LP;"";"";"";"";""
Guidde Inc.;"";;Dan;Sahar;"";Vereinigte Staaten von Amerika (USA)
Guidde Inc.;"";;Yoav;Einav;"";Vereinigte Staaten von Amerika (USA)
HQS Quantum Simulations GmbH;Quantonation I FPCI;"";"";"";"";""
HQS Quantum Simulations GmbH;"";;Michael;Marthaler;"";Deutschland
HQS Quantum Simulations GmbH;"";;Sebastian;Zanker;"";Deutschland
HQS Quantum Simulations GmbH;"";;Iris;Schwenk;"";Deutschland
HQS Quantum Simulations GmbH;"";;Jan;Reiner;"";Deutschland
Hathora Inc.;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Here Not There;a16z - CNK Seed Fund I, L.P.;"";"";"";"";""
Highsnobiety;Reimann Investor Management GmbH & Co. 2016 KG;"";"";"";"";""
Highsnobiety;"";;David;Fischer;;Deutschland
Highsnobiety;"";;Jürgen;Hopfgartner;;Deutschland
Highsnobiety;"";;Max;Berger;;Deutschland
Highsnobiety;"";;Jeffrey;Carvalho;;Deutschland
Home HT;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
Home HT;"";;Thilo;Konzok;;Deutschland
Home HT;"";;Moritz;von Hase;;Deutschland
Home3;Honeystone Ventures Fund LP;"";"";"";"";""
Home3;"";;Nils;Bunger;"";""
Home3;"";;Marcio;von Muhlen;"";""
Honeydew Data, Inc.;Honeystone Ventures Fund LP;"";"";"";"";""
Honeydew Data, Inc.;"";;Liron;Slonimsky;"";Israel
Horne Technologies LLC.;Cottonwood Technology Fund III;"";"";"";"";""
Horne Technologies LLC.;"";;Tanner;Horne;"";Vereinigte Staaten von Amerika (USA)
IG One NFT UG;Greenfield One III GmbH & Co. KG;"";"";"";"";""
IG One NFT UG;"";;Matthias;Grobe;mänlich;""
IPRally Technologies Oy;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
IPRally Technologies Oy;"";;Sakari;Arvela;"";Finnland
Immortal Game;Greenfield One III GmbH & Co. KG;"";"";"";"";""
Immortal Game;"";;Thomas;Zaepffel;"";""
ImmunOS;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
ImmunOS;"";;Sean;Smith;;Schweiz
ImmunOS;"";;Osiris;Belaunzaran;;Schweiz
InSpek SAS;Quantonation I FPCI;"";"";"";"";""
InSpek SAS;"";;Jérôme;Michon;"";Frankreich
Infinite Canvas Creation, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Infinite Canvas Creation, Inc.;"";;Sebastian;Park;"";Vereinigte Staaten von Amerika (USA)
Infinite Canvas Creation, Inc.;"";;Tal;Shachar;"";Vereinigte Staaten von Amerika (USA)
Infinitum Electric;Cottonwood Technology Fund III;"";"";"";"";""
Infinitum Electric;"";;Ben;Schuler;"";Vereinigte Staaten von Amerika (USA)
Inkitt;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
Inkitt;"";;Ali;Albazaz;;Deutschland
InstaDeep;Alpha Intelligence Capital Fund 1;"";"";"";"";""
InstaDeep;"";;Karim;Beguir;"";Groß-Britanien (UK)
InstaDeep;"";;Zohra;Slim;"";Groß-Britanien (UK)
Instill AI Ltd.;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Instill AI Ltd.;"";;Ping-Lin;Chang;"";Groß-Britanien (UK)
Instill AI Ltd.;"";;Xiaofei;Du;"";Groß-Britanien (UK)
Intelligent NLU GmbH (DeepOpinion);Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Intelligent NLU GmbH (DeepOpinion);"";;Stefan;Engl;"";Österreich
Intelligent NLU GmbH (DeepOpinion);"";;Stefan;Ramershoven;"";""
It´sQ GmbH;Quantonation I FPCI;"";"";"";"";""
It´sQ GmbH;"";;Alexander;Knobloch;"";""
It´sQ GmbH;"";;Ish;Dhand;"";""
It´sQ GmbH;"";;Martin B.;Plenio;"";""
It´sQ GmbH;"";;Christine;Silberhorn;"";""
JoyRide (Kiwi);BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
JoyRide (Kiwi);"";;Omar;Siddiqui;;Vereinigte Staaten von Amerika (USA)
JoyRide (Kiwi);"";;Shvetank;Jain;;Vereinigte Staaten von Amerika (USA)
JoyRide Games;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
JoyRide Games;"";;Omar;Siddiqui;;Vereinigte Staaten von Amerika (USA)
JoyRide Games;"";;Shvetank;Jain;;Vereinigte Staaten von Amerika (USA)
Justpoint Inc.;Honeystone Ventures Fund LP;"";"";"";"";""
Justpoint Inc.;"";;Oleksandr;Zakharchuk;"";Vereinigte Staaten von Amerika (USA)
Justpoint Inc.;"";;Serge;Zenin;"";Vereinigte Staaten von Amerika (USA)
Justpoint Inc.;"";;Victor;Bornstein;"";Vereinigte Staaten von Amerika (USA)
KETS;Quantonation I FPCI;"";"";"";"";""
KETS;"";;Chris;Erven;"";Groß-Britanien (UK)
KYP AI;42CAP II GmbH & Co. KG;"";"";"";"";""
KYP AI;"";;Frank;Scheuble;;Deutschland
